codigo;descripcion;unidad;precio
011516;ABRA CADDY EMT 25MM 500/C;UNIDA;210
011515;ABRA. CADDY EMT 20MM;UNIDA;210
011520;ABRA.OMEGA EMT 20MM BSSD20 1000/C;UNIDA;67
011522;ABRAZADERA OMEGA 25MM;UNIDA;110
070413;ACEITERA 500G. RIGIDA;UNIDA;1681
159983;ADAPT.CHUKO 10A 2P+T 250V C/PROTECTOR;UNIDA;2521
159984;ADAPTADOR SIMPLE 10A EM/MA.AS-100;UNIDA;1513
159982;ADAPTOR SCHUKO 2P+T 10-16A-250V BL;UNIDA;1345
159988;ALARGADOR C/CABLE 3M 4E SL2714 40/C;UNIDA;5882
070356;"ALICATE DE CARPINTERO 10"" 60/C";UNIDA;2521
070346;"ALICATE DIAGONAL 8""";UNIDA;2101
070323;"ALICATE FORD 8""";UNIDA;1933
070340;"ALICATE UNIVERSAL 6""";UNIDA;1681
070341;"ALICATE UNIVERSAL 7""";UNIDA;2017
070342;"ALICATE UNIVERSAL 8""";UNIDA;2269
160415;ALTA EFI.2 X 40W EMB.SIN BALA;UNIDA;12185
160414;ALTA EFI.2 X 40W S/P.SIN BALA;UNIDA;20000
160405;ALTA EFI.3 X 20W S/P. S/BALA;UNIDA;25000
160421;ALTA EFI.3 X 40W S/P SIN BALA;UNIDA;28151
160416;ALTA EFIC. 1 X 40W S/P SIN BALA;UNIDA;7143
160400;ALTA EFIC. 2 X 20W S/P S/BALA;UNIDA;16807
160094;AMP. 130W E-40;UNIDA;13277
160085;AMP. 200W;UNIDA;16807
160080;AMP. 40W;UNIDA;4202
160082;AMP. 85W;UNIDA;10924
160520;AMP. COLA CHANCHO 7-8W 8000HORAS;UNIDA;546
160814;AMP. LED 12W 6500K 03;UNIDA;1513
160831;AMP. LED 12W CALIDA CERT.01-12;UNIDA;1513
160521;AMP. LED 1W;UNIDA;546
160104;AMP. LED 3 X 1W E27;UNIDA;1345
160103;AMP. LED 3 X 1W E27;UNIDA;1345
160078;AMP. LED 5W;UNIDA;1261
160811;AMP. LED 5W 3500K 03;UNIDA;1261
160826;AMP. LED 5W FRIA CERT.01-5;UNIDA;1261
160832;AMP. LED 7W;UNIDA;1345
160833;AMP. LED 7W;UNIDA;1345
160813;AMP. LED 9W 3500K 03;UNIDA;1345
160812;AMP. LED 9W 6500K 03;UNIDA;1345
160828;AMP. LED 9W FRIA CERT.01-9;UNIDA;1513
160822;AMP. LED 9W FRIA CERT.02-9;UNIDA;1345
160026;AMP. LED CHAMPIÑION 100W E-40 8/C;UNIDA;23109
160025;AMP. LED CHAMPIÑION 50W E-27;UNIDA;12605
160027;AMP. LED CHAMPIÑON E27150W;UNIDA;24370
160105;AMP. LED E27;UNIDA;5462
160106;AMP. LED E-27 LUZ CALIDA 7 X 1W;UNIDA;5462
120020;AMP. LED FRIA CMPLETA 3 X 1W 100/C;UNIDA;3782
160101;AMP. LED GU-10 3 X 1W 200/C;UNIDA;1345
160100;AMP. LED GU-10 3 X 1W 200/C FRIA;UNIDA;1639
160834;AMP. LED GU-10 3W FRIA CERTIFICADA 50/C;UNIDA;2101
160837;AMP. LED GU-10 5W CALIDA CERTIFICADA 50;UNIDA;1681
160836;AMP. LED GU-10 5W FRIA CERTIFICADA 50/C;UNIDA;1681
160839;AMP. LED M-T 10W 3500K 100/C;UNIDA;1261
160840;AMP. LED M-T 10W 6500K 100/C;UNIDA;1261
160841;AMP. M-T 20W 20/C;UNIDA;2521
160842;AMP. M-T20W 20/C;UNIDA;2521
160843;AMP. M-T28W 20/C;UNIDA;3319
160844;AMP. M-T28W 20/C;UNIDA;3319
160846;AMP. M-T36W;UNIDA;4118
160845;AMP. M-T36W;UNIDA;4118
160848;AMP. M-T45W;UNIDA;4958
160847;AMP. M-T45W;UNIDA;4622
160022;AMP. TUBULAR LED 100W E-40 FRIA 8/C;UNIDA;21008
160054;AMP.BULBO 220V 50W;UNIDA;504
160055;AMP.BULBO 220V 75W;UNIDA;504
160057;AMP.DICROICA JCDR-E27 75W C/T;UNIDA;924
160056;AMP.DICROICA JCDR-E27 75W S/T;UNIDA;840
160815;AMP.LED 12W 3500K 03;UNIDA;1513
120021;AMP.LED CALIDA COMPLETA 3 X1W 100/C;UNIDA;4034
040323;ANGULO EXTERIO P/CANALETA 40X16;UNIDA;252
040302;ANGULO EXTERIOR P/CANALETA 100X50;UNIDA;1681
040301;ANGULO INTERIOR P/CANALETA 100X50;UNIDA;1681
040322;ANGULO INTERIOR P/CANALETA 40X16;UNIDA;252
040320;ANGULO PLANO CANALETA 40X16;UNIDA;252
040303;ANGULO PLANO P/CANALETA 100X50;UNIDA;1681
040304;ANGULO T PLANO P/CANALETA 100X50;UNIDA;1681
040325;ANGULO T PLANO P/CANALETA 40X16;UNIDA;252
130136;APILADOR 1T;UNIDA;462185
130138;APILADOR 2T C/BATERIA CARGABLE 3.1MTS;UNIDA;1663866
130137;APILADOR CON FRENO 1T 1.6MTS;UNIDA;495798
130139;APILADOR2T C/CABLE A.C;UNIDA;1638655
160344;AUDIFONO ANTIRUIDO EY2;UNIDA;1261
160090;BALA METALICA 250W;UNIDA;10500
160091;BALA METALICA 400 W;UNIDA;13025
160086;BALLAST 20W;UNIDA;1681
160087;BALLAST 40W;UNIDA;1681
030632;BARRA DE BAñO EXT.1.1-2M 50/C;UNIDA;2941
070198;BARRE HOJAS EXT. R121 22D.;UNIDA;2521
070199;BARRE HOJAS R112A.;UNIDA;2101
159964;BASE T/FLUOR.J/PORTAP.T/NOR.CC;UNIDA;1513
010251;BASURERO PVC 120L GRIS;UNIDA;31933
010250;BASURERO PVC 240L VERDE;UNIDA;41176
160097;BATERIA 12V 1.2AH;UNIDA;6303
160095;BATERIA 12V 4.5AH;UNIDA;9244
160096;BATERIA 12V 7AH;UNIDA;10084
020306;"BISAGRA NEGRA DE PUERTA 3""";UNIDA;1429
020307;"BISAGRA NEGRA DE PUERTA 4""";UNIDA;2101
011424;BOMBA DE ACEITE HT1034;UNIDA;15126
011421;BOMBA DE ACEITE WS-25 5/C.;UNIDA;12605
011419;BOMBA DE PISCINA SUPB100 0.75KW;UNIDA;138655
011420;BOMBA DE PISCINA SWIM050 0.75KW;UNIDA;130252
130306;"BROCA DE CARPINTERO 1""";UNIDA;840
130300;"BROCA DE CARPINTERO 1/4""";UNIDA;378
130301;"BROCA DE CARPINTERO 5/16""";UNIDA;588
130304;"BROCA DE CARPINTERO 5/8""";UNIDA;714
130430;BROCA HSS 1.5MM DE CHINA;UNIDA;378
130449;BROCA HSS 10.5MM DE CHINA;UNIDA;1261
130451;BROCA HSS 11.5MM DE CHINA;UNIDA;1513
130450;BROCA HSS 11MM DE CHINA;UNIDA;1513
130432;BROCA HSS 2.5MM DE CHINA;UNIDA;420
130431;BROCA HSS 2MM DE CHINA;UNIDA;420
130434;BROCA HSS 3.5MM DE CHINA;UNIDA;462
130436;BROCA HSS 4.5MM DE CHINA;UNIDA;504
130438;BROCA HSS 5.5MM DE CHINA;UNIDA;504
130440;BROCA HSS 6.5MM DE CHINA;UNIDA;294
130442;BROCA HSS 7.5MM DE CHINA;UNIDA;378
130441;BROCA HSS 7MM DE CHINA;UNIDA;378
130447;BROCA HSS 9.5MM DE CHINA;UNIDA;672
130404;BROCA P/CONCRETO 10MM;UNIDA;378
130405;BROCA P/CONCRETO 12MM;UNIDA;504
130401;BROCA P/CONCRETO 5MM;UNIDA;210
130403;BROCA P/CONCRETO 8MM;UNIDA;420
011310;"BROCHA DE CAFE 1/2""";UNIDA;84
011315;"BROCHA DE CAFE 2.5""";UNIDA;420
011316;"BROCHA DE CAFE 3""";UNIDA;504
011317;"BROCHA DE CAFE 4""";UNIDA;546
011382;"BROCHA SIN MARCA B.CALIDAD 1""";UNIDA;378
011383;"BROCHA SIN MARCA B.CALIDAD 1.5""";UNIDA;546
011380;"BROCHA SIN MARCA B.CALIDAD 1/2""";UNIDA;252
011384;"BROCHA SIN MARCA B.CALIDAD 2""";UNIDA;672
011385;"BROCHA SIN MARCA B.CALIDAD 2.5""";UNIDA;756
011386;"BROCHA SIN MARCA B.CALIDAD 3""";UNIDA;840
011381;"BROCHA SIN MARCA B.CALIDAD 3/4""";UNIDA;336
011387;"BROCHA SIN MARCA B.CALIDAD 4""";UNIDA;1261
010512;CAD.CUELLO DOBLE 114. 2.0MMX35CM;UNIDA;840
010513;CAD.CUELLO DOBLE 114. 2.0MMX45CM;UNIDA;840
010514;CAD.CUELLO DOBLE 114. 2.5MMX60CM;UNIDA;1008
010515;CAD.CUELLO DOBLE 114. 3.0MMX55CM;UNIDA;1008
010508;"CAD.CUELLO P/PERRO 104. 2.5MMX18""";UNIDA;420
010509;"CAD.CUELLO P/PERRO 104. 3.0MMX22""";UNIDA;462
010510;"CAD.CUELLO P/PERRO 104. 3.5MMX26""";UNIDA;588
010511;"CAD.CUELLO P/PERRO 104. 4.0MMX28""";UNIDA;840
010502;CADENA DE PERRO 1.6X48 120/C;UNIDA;840
010503;CADENA DE PERRO 2.0X48 120/C;UNIDA;1176
010504;CADENA DE PERRO 2.5X48 120/C;UNIDA;1261
010505;CADENA DE PERRO 3.0X48 120/C;UNIDA;1681
